timestamp,ear_norm,mouth_norm,jaw_norm,stress_flag,flat_affect_flag,arousal_flag
1768819497.22,0.736,13.321,1.846,0.452,0.5,0.062
1768819497.42,0.598,12.303,1.867,0.341,0.5,0.066
1768819497.72,0.805,12.742,1.798,0.0,0.5,0.071
1768819509.62,0.832,3.123,1.869,0.0,0.5,0.069
1768819509.92,1.041,1.353,1.373,0.0,0.5,0.06
1768819510.12,0.881,2.538,1.251,0.353,0.5,0.053
1768819510.32,0.815,0.349,1.312,0.158,0.5,0.046
1768819511.02,0.888,0.628,1.349,0.0,0.5,0.04
1768819511.32,0.925,0.285,1.617,0.598,0.5,0.053
1768819511.62,0.895,0.752,1.699,0.715,0.5,0.065
1768819511.82,0.946,8.715,1.794,0.553,0.5,0.073
1768819512.02,0.789,10.389,1.87,0.0,0.5,0.078
1768819512.32,0.949,6.928,1.782,0.0,0.5,0.075
1768819512.52,0.968,6.249,1.809,0.136,0.5,0.074
1768819512.72,0.902,7.004,1.791,0.0,0.5,0.073
1768819513.02,1.034,9.308,1.769,1.0,0.5,0.073
1768819513.32,1.104,2.758,1.614,0.768,0.5,0.075
1768819513.53,1.036,10.433,1.756,1.0,0.5,0.076
1768819513.82,0.985,9.266,1.741,0.519,0.5,0.077
1768819516.82,1.533,21.231,1.717,1.0,0.5,0.072
1768819517.12,0.595,13.263,1.748,0.934,0.5,0.073
1768819517.42,0.865,3.826,1.708,0.151,0.5,0.073
1768819517.72,0.94,0.531,1.572,0.0,0.5,0.07
1768819518.02,0.956,6.689,1.67,0.0,0.5,0.067
1768819518.22,0.909,0.164,1.807,1.0,0.5,0.064
1768819518.42,0.938,0.409,1.614,1.0,0.5,0.062
1768819518.72,0.817,0.371,1.63,0.269,0.5,0.064
1768819518.92,0.642,0.15,1.59,0.882,0.5,0.068
1768819519.22,0.758,0.083,1.581,1.0,0.5,0.072
1768819519.52,0.802,4.839,1.679,0.603,0.5,0.075
1768819519.74,0.757,7.975,1.736,0.0,0.5,0.075
1768819520.02,0.633,5.276,1.632,0.0,0.5,0.074
1768819520.32,1.349,13.307,1.547,0.0,0.5,0.068
1768819520.52,1.197,2.114,1.483,0.0,0.5,0.063
1768819520.82,1.072,1.479,1.694,0.161,0.5,0.06
1768819521.72,1.248,0.198,1.677,0.102,0.5,0.057
1768819522.02,2.24,4.514,1.678,0.0,0.5,0.055
1768819522.32,1.572,21.563,1.963,0.0,0.5,0.057
1768819522.52,1.953,10.116,1.921,0.993,0.5,0.056
1768819535.42,1.254,4.481,2.033,1.0,0.5,0.053
1768819536.92,0.581,1.066,1.202,0.763,0.5,0.054
1768819537.22,1.985,12.022,1.44,0.004,0.5,0.055
