1770257942.29,0.925,0.213,1.272,0.0,0.5,0.055
1770257942.59,0.867,0.202,1.278,0.576,0.5,0.055
1770257942.79,0.909,0.205,1.26,0.185,0.5,0.055
1770257943.09,0.885,0.393,1.266,0.735,0.5,0.054
1770257943.29,0.923,0.594,1.266,0.058,0.5,0.054
1770257943.5,0.936,0.306,1.263,0.197,0.5,0.054
1770257943.79,0.907,0.314,1.263,0.088,0.5,0.053
1770257943.99,0.84,0.41,1.274,1.0,0.5,0.054
1770257944.21,0.926,0.404,1.258,0.874,0.5,0.054
1770257944.5,0.893,0.664,1.264,0.289,0.5,0.054
1770257944.71,0.955,0.328,1.254,0.078,0.5,0.054
1770257944.99,0.917,0.343,1.277,0.0,0.5,0.053
1770257945.2,0.911,0.326,1.278,0.394,0.5,0.053
1770257945.49,0.767,0.357,1.255,1.0,0.5,0.052
1770257945.7,0.861,0.286,1.242,0.0,0.5,0.052
1770257945.92,0.986,0.151,1.24,0.0,0.5,0.051
1770257946.2,0.902,0.33,1.248,0.011,0.5,0.05
1770257946.49,0.812,0.168,0.996,1.0,0.5,0.049
1770257946.71,0.684,2.128,0.954,1.0,0.5,0.052
1770257947.09,0.611,3.005,1.022,0.0,0.5,0.056
1770257947.49,0.87,0.292,0.821,0.628,0.5,0.061
1770257947.69,0.921,1.502,0.958,0.437,0.5,0.063
1770257948.29,0.884,0.245,1.116,0.434,0.5,0.065
1770257948.59,0.768,0.64,1.163,0.566,0.5,0.067
1770257948.79,0.86,0.173,1.151,0.0,0.5,0.06
1770257949.09,0.704,0.152,1.189,0.786,0.5,0.061
1770257949.39,0.73,0.204,1.159,0.003,0.5,0.06
1770257949.59,0.868,0.295,1.2,0.0,0.5,0.059
1770257949.89,0.938,0.441,1.226,0.0,0.5,0.057
1770257950.09,0.918,0.185,1.221,0.086,0.5,0.055
1770257950.39,0.709,0.322,1.212,1.0,0.5,0.053
1770257950.59,0.802,0.279,1.172,1.0,0.5,0.053
1770257950.89,0.96,0.38,1.18,0.0,0.5,0.054
1770257951.09,0.89,0.361,1.199,0.0,0.5,0.054
1770257951.29,0.827,0.467,1.257,0.294,0.5,0.054
1770257951.59,0.712,0.438,1.219,1.0,0.5,0.056
1770257951.79,0.639,0.259,1.223,1.0,0.5,0.056
1770257952.09,0.6,0.31,1.186,0.591,0.5,0.058
1770257952.32,0.734,0.259,1.218,0.0,0.5,0.059
